id,age,sexe,ville,cp,freqDouche,tempsDouche,debitDouche,freqBain,rempBain,freqDents,eauDents,freqVaisselle,choixVaisselle,methVaisselle,couvVaisselle,freqMal,dateMal,ecoEau,plante,momentPlante,eauPlante,freqPlante,voiture,methVoiture,freqVoiture,piscine,freqPiscine,volumePiscine,etiquette,bouteille
617,47,homme,amiens,80000,7,5,fort,0,oui,2,oui,3,main,oui,20,10,ancien,100,oui,soir,pluie,8,oui,manuel,1,non,non,0,oui,bouteille
618,51,femme,amiens,80000,7,5,moyen,0,oui,1,oui,14,main,oui,16,4,ancien,100,non,matin,robinet,0,non,automatique,0,non,non,0,oui,robinet
619,49,homme,albert,80300,7,5,faible,0,oui,2,non,14,lave-vaisselle,non,0,30,recent,0,non,matin,robinet,0,oui,manuel,1,non,non,0,oui,robinet
620,44,femme,amiens,80000,7,3,moyen,0,oui,2,non,14,main,oui,16,4,recent,1,non,matin,robinet,0,oui,manuel,1,non,non,0,non,robinet
621,25,femme,amiens,80000,7,5,fort,0,oui,1,non,1,main,non,0,4,recent,100,non,matin,robinet,16,oui,manuel,2,non,non,0,non,robinet
622,28,homme,Albert,80300,7,10,moyen,0,oui,2,non,14,lave-vaisselle,non,0,10,recent,10,oui,soir,pluie,8,non,automatique,0,non,non,0,non,bouteille
623,45,homme,Bouzincourt,80300,14,10,moyen,0,oui,2,non,7,main,oui,20,4,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
624,55,femme,amiens,80000,7,15,fort,2,non,3,oui,2,main,oui,16,30,recent,0,oui,matin,pluie,30,oui,automatique,1,non,non,0,non,robinet
625,44,homme,peronne,80200,7,5,moyen,0,oui,1,non,7,lave-vaisselle,non,0,12,recent,100,non,matin,pluie,0,oui,manuel,1,non,non,0,non,robinet
626,26,homme,amiens,80000,7,10,moyen,3,oui,2,non,14,main,non,0,20,ancien,101,non,matin,robinet,0,oui,automatique,1,oui,oui,30,oui,robinet
627,46,femme,amiens,80000,7,10,moyen,0,oui,2,oui,3,main,non,0,8,recent,0,non,matin,robinet,0,oui,manuel,1,non,non,0,non,bouteille
628,41,femme,montreuil,93100,7,5,moyen,0,oui,2,non,3,main,non,0,4,recent,100,oui,soir,robinet,8,oui,manuel,8,non,non,0,non,bouteille
629,44,homme,amiens,80000,7,5,fort,0,oui,2,non,7,main,oui,20,6,recent,0,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,robinet
630,25,homme,Bouzincourt,80300,7,10,moyen,1,non,2,non,14,lave-vaisselle,non,0,4,recent,1,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
631,39,femme,Albert,80300,7,5,moyen,0,oui,2,non,6,lave-vaisselle,non,0,12,ancien,0,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
632,54,homme,peronne,80200,7,15,faible,0,oui,1,non,7,main,oui,8,6,ancien,10,oui,matin,robinet,8,oui,automatique,2,non,non,0,oui,robinet
633,43,homme,amiens,80000,7,10,faible,0,oui,1,oui,14,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,oui,manuel,1,non,non,0,non,bouteille
634,47,homme,amiens,80000,14,3,moyen,0,oui,2,non,5,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
635,44,femme,amiens,80000,7,5,moyen,0,oui,1,oui,2,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
636,60,homme,paris,75011,7,10,fort,0,oui,1,oui,14,main,oui,8,4,ancien,0,oui,matin,robinet,8,non,automatique,0,oui,non,80,non,robinet
637,23,homme,peronne,80200,7,25,moyen,0,oui,2,non,7,main,oui,20,4,recent,100,non,matin,robinet,0,non,automatique,0,non,non,0,oui,bouteille
638,56,femme,MEAULTE,80300,7,10,moyen,0,oui,2,oui,3,main,oui,20,4,recent,110,oui,soir,pluie,6,oui,manuel,1,non,non,0,non,bouteille
639,51,homme,CHAULNES,80320,7,15,moyen,0,oui,2,parfois,3,main,oui,6,4,recent,100,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
640,46,femme,Albert,80300,7,25,moyen,0,oui,1,oui,14,lave-vaisselle,non,0,6,recent,100,non,matin,robinet,0,oui,manuel,2,non,non,0,non,robinet
641,39,homme,amiens,80000,7,10,fort,0,oui,2,non,14,lave-vaisselle,non,0,30,recent,0,non,matin,robinet,0,non,automatique,0,oui,oui,60,oui,robinet
642,51,homme,amiens,80000,14,15,faible,0,oui,2,non,21,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
643,54,femme,amiens,80000,7,10,faible,0,oui,3,non,14,main,oui,20,30,recent,0,oui,soir,pluie,8,non,automatique,0,non,non,0,non,robinet
644,43,femme,paris,75015,7,10,moyen,0,oui,2,oui,9,main,non,0,12,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
645,22,femme,MEAULTE,80300,7,15,moyen,2,non,2,oui,7,main,oui,20,20,recent,100,non,matin,robinet,0,non,automatique,0,non,non,0,non,bouteille
646,42,femme,CHAULNES,80320,7,15,fort,0,oui,2,parfois,3,main,oui,30,4,recent,10,oui,soir,pluie,16,oui,manuel,1,non,non,0,non,robinet
